phd_year,gender,perc_shared_data,supportive,beneficial,tendency,benefits,benefits_list,costs,costs_list,mandatory_time,effort_decrease
2011,M,0.75,1,1,1,1,"1, 2, 7",0,,0,1
2000,F,0.5,1,1,3,0,,0,,0,1
2015,M,0.75,1,1,2,1,"1, 2",0,,1,1
2008,NB,0,2,0,3,0,,0,,1,1
2008,M,0.75,1,1,2,1,"1, 2",1,3,0,1
2008,M,0.75,1,1,1,0,,1,"1, 6",0,0
2005,F,0.75,1,1,2,0,,0,,0,0
2006,M,0.75,1,1,1,1,"1, 3, 4",0,,0,1
1991,M,0.1,1,1,2,0,,0,,0,1
1990,M,0,2,0,3,0,,1,"2, 3, 5",0,0
1982,M,0.75,1,1,1,0,,0,,1,1
1985,F,0.25,1,1,1,1,"1, 3, 4",0,,0,0
1981,M,0.75,3,1,2,0,,0,,0,0
1986,M,0.1,2,0,3,0,,0,,1,0
1999,M,0.75,1,1,2,0,,1,3,0,0
1985,F,0.1,3,1,1,1,"1, 2, 3, 4",0,,1,0
2014,F,1,1,1,1,1,"1, 2",0,,0,0
1979,M,1,1,1,1,1,"1, 2, 6",0,,0,1
2011,M,1,1,1,1,0,,0,,0,1
2011,M,0.75,1,1,1,1,"1, 2",0,,0,0
1991,M,0.75,1,1,1,0,,0,,0,1
2012,M,0.75,1,1,2,0,,1,"1, 7",0,0
2006,F,0.1,1,1,3,0,,0,,0,0
2006,F,0.75,1,1,2,0,,0,,0,1
1988,F,0,1,1,3,0,,0,,1,0
1987,M,0.25,3,1,3,0,,0,,1,0
2006,M,1,1,1,1,1,"1, 2, 3, 6, 7",1,2,0,1
2007,M,0.75,1,1,1,1,"1, 2, 3, 6",0,,0,1
2005,M,0.5,1,1,2,0,,0,,0,0
1998,M,0.75,1,1,2,0,,0,,1,0
1999,F,0.75,1,1,3,0,,0,,0,1
1994,M,0.25,3,1,2,0,,0,,0,1
1998,F,0.1,1,1,2,0,,0,,0,0
1997,M,0.25,1,1,2,1,2,0,,0,1
1993,F,0.25,1,0,2,0,,0,,0,0
1988,F,0,1,1,1,1,4,0,,0,0
2009,M,0,3,0,3,0,,0,,0,0
2013,F,0.75,1,1,1,1,"1, 2",0,,0,0
1994,F,0.75,2,0,2,0,,0,,1,0
1998,M,0.5,1,1,1,1,"1, 3, 4, 7",1,7,0,1
1991,M,0.75,1,1,2,0,,0,,0,1
2010,M,1,1,1,1,1,"1, 2, 3",0,,0,1
1989,M,0.75,1,1,1,1,"1, 3",0,,0,0
1989,M,0.25,1,1,2,1,"1, 2, 3, 4",1,7,0,1
2007,F,0.25,1,1,2,0,,1,"4, 5, 7",1,1
2012,M,0.75,1,1,1,1,"3, 4",1,3,1,0
1990,F,0.1,1,1,1,1,"1, 2, 3",0,,0,1
1990,M,1,1,1,1,1,1,0,,1,0
2002,M,0.1,3,0,2,1,1,1,"3, 7",1,0
1998,F,0.25,2,1,2,0,,1,"1, 2",1,0
1999,M,1,1,1,1,0,,0,,0,1
1993,M,0,1,1,2,0,,0,,0,0
2011,F,0.5,1,1,2,1,2,0,,0,0
1996,M,0.5,1,1,2,1,1,1,3,1,0
2001,F,0.75,1,1,2,1,"1, 3, 4",0,,1,0
2003,M,0.75,2,1,3,0,,1,7,1,0
2009,M,0.25,2,1,2,0,,0,,1,0
1991,F,0,1,1,3,0,,0,,1,1
1981,M,0.25,1,1,2,1,"1, 2",0,,1,0
2012,F,0.5,2,1,1,1,"1, 3, 4, 6, 7",1,"2, 3, 5",1,0
2004,F,1,1,1,1,1,1,0,,0,0
1990,M,0.5,1,1,2,0,,0,,0,0
1972,M,0,2,1,2,1,"1, 3",0,,1,0
1995,F,0.5,1,1,2,0,,0,,0,1
2005,F,1,1,1,1,1,8,0,,0,0
2000,M,0.75,1,1,3,0,,0,,0,0
1987,M,1,1,1,1,1,1,1,"2, 5",0,0
2002,F,1,1,1,1,1,1,0,,0,0
2008,M,0.5,1,1,2,1,"3, 4",0,,0,0
1994,M,0.75,1,1,2,1,"1, 3, 4",0,,1,0
2008,F,0.75,1,1,1,1,3,0,,0,1
2009,F,0.5,1,1,2,0,,0,,0,0
2008,F,0.5,2,0,2,1,"1, 3, 4, 7",1,"1, 2, 3, 5",0,1
2014,M,0.25,1,1,1,1,"1, 2, 3, 4, 5, 6, 7",1,"1, 5",0,1
1995,M,0.1,2,0,2,0,,1,"2, 3, 5",1,0
1999,F,0.1,1,1,3,0,,0,,1,0
1982,M,0.25,1,1,1,1,"3, 4",1,3,0,0
2005,F,0.75,1,1,1,1,"1, 2",1,2,0,1
2012,M,0.75,1,1,2,1,"1, 2",0,,1,0
2015,M,1,1,1,1,1,"1, 2",0,,0,1
2004,M,0.5,1,1,1,0,,0,,0,0
2007,M,0.5,1,1,2,0,,0,,1,0
1989,F,0.75,1,1,2,1,1,0,,0,1
1990,F,0.5,1,1,1,1,1,0,,0,0
2010,F,1,1,1,1,1,"1, 2",0,,0,1
2010,M,0.5,1,1,2,0,,0,,1,1
2014,F,1,1,1,1,1,"1, 7",0,,1,1
2000,F,0.75,1,1,3,0,,0,,0,0
1994,M,0.25,1,1,2,0,,0,,0,0
2008,F,1,1,1,1,1,"1, 2",0,,0,1
1998,M,1,1,1,1,1,"1, 3",0,,0,1
2007,M,0.25,1,1,2,0,,0,,1,0
2002,M,0.25,1,1,1,1,"1, 5, 6",0,,1,1
1996,M,0.25,1,1,2,1,4,0,,0,0
2015,F,1,2,1,3,0,,1,"1, 2, 5",0,0
2001,F,0.1,2,1,3,0,,0,,0,0
1997,F,0.5,1,1,1,1,"1, 2, 8",0,,0,1
1985,F,0.75,1,1,1,0,,0,,0,1
1992,M,0.25,3,1,2,1,"1, 2, 3, 4",1,"2, 3, 5",0,0
2000,M,0.25,1,1,2,0,,1,3,1,1
2015,F,0.1,1,1,2,0,,0,,0,0
1991,M,0,1,1,2,0,,1,7,1,0
1998,M,0.5,1,1,2,0,,0,,0,1
2012,F,1,1,1,1,0,,0,,0,0
2013,F,0.1,2,1,2,0,,0,,1,0
1999,F,0,1,1,2,0,,0,,1,0
1983,M,0.75,2,1,1,1,"1, 3, 4",0,,1,1
1979,M,0.5,1,1,1,1,"1, 3, 4, 5, 6",0,,0,0
2009,M,0.75,1,1,1,1,"1, 2, 3",0,,0,0
2000,F,1,1,1,2,1,,0,,0,1
1991,F,0,1,0,3,0,,0,,1,0
1976,M,0,3,1,1,1,1,0,,0,1
1998,M,0.5,3,1,2,0,,0,,1,1
1992,M,0.25,1,1,2,1,"1, 2",0,,0,0
2011,M,0.25,1,1,2,1,"1, 2",0,,0,0
1991,M,0.1,1,1,2,1,1,0,,1,1
2001,M,0.5,3,1,3,0,,0,,1,0
2001,M,0.75,1,1,3,1,1,0,,0,1
2004,M,0.5,1,1,2,0,,0,,0,1
1998,F,0.1,3,0,3,0,,0,,1,0
1994,F,0.25,1,1,3,0,,0,,0,1
1996,M,0,1,1,2,0,,0,,1,1
1992,NB,0.5,3,0,2,0,,0,,1,1
1971,M,0.5,1,1,1,1,"1, 2, 3, 4, 5",0,,0,0
1992,M,1,3,0,2,0,,0,,0,0
1994,M,0.25,2,0,2,1,"1, 3, 4",1,"3, 5",1,0
2011,M,0.75,1,1,1,1,"1, 2, 7",1,,1,0
2003,F,0.75,1,1,1,0,,0,,0,1
2000,M,0.75,1,1,1,1,"1, 8",1,7,0,0
1984,F,0.5,1,1,2,0,,0,,0,0
2004,M,1,1,1,1,1,"1, 2, 3, 4",1,"2, 3, 5",0,0
1991,M,0.1,1,1,2,0,,0,,0,0
1990,M,0.25,3,0,1,0,,0,,1,0
2001,M,0.75,1,1,2,0,,0,,0,0
1999,M,0.5,3,1,1,1,"2, 3, 7",0,,1,1
1990,F,0.5,1,1,3,0,,0,,0,0
1996,F,0.1,1,1,2,0,,0,,0,1
2003,F,0.5,1,0,2,0,,1,"1, 7",0,1
1980,M,0.25,1,1,2,1,"1, 8",0,,1,0
2008,F,0.75,1,1,2,0,,0,,0,0
